"RIX","alias","ID","day","isotype","virus","antigen","halfmax","last_positive"
"CC002xCC021","X15156x1566","102","D29","IgG1","SARS","S",100,1000
"CC002xCC021","X15156x1566","102","D29","IgG2ac","SARS","N",NA,3000
"CC002xCC021","X15156x1566","102","D29","IgG2ac","SARS","S",10000,1e+05
"CC002xCC021","X15156x1566","102","D29","IgG2b","SARS","N",NA,1000
"CC002xCC021","X15156x1566","102","D29","IgG2b","SARS","S",1000,10000
"CC002xCC021","X15156x1566","102","D29","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","102","D29","IgG3","SARS","S",NA,300
"CC002xCC021","X15156x1566","102","D29","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","102","D29","IgM","SARS","S",NA,100
"CC002xCC021","X15156x1566","102","D29","TotalG","SARS","N",NA,3000
"CC002xCC021","X15156x1566","102","D29","TotalG","SARS","S",30000,3e+05
"CC002xCC021","X15156x1566","103","D15","IgG1","SARS","N",100,1000
"CC002xCC021","X15156x1566","103","D15","IgG1","SARS","S",100,1000
"CC002xCC021","X15156x1566","103","D15","IgG2ac","SARS","N",NA,NA
"CC002xCC021","X15156x1566","103","D15","IgG2ac","SARS","S",3000,30000
"CC002xCC021","X15156x1566","103","D15","IgG2b","SARS","N",NA,300
"CC002xCC021","X15156x1566","103","D15","IgG2b","SARS","S",300,10000
"CC002xCC021","X15156x1566","103","D15","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","103","D15","IgG3","SARS","S",NA,30000
"CC002xCC021","X15156x1566","103","D15","IgM","SARS","N",NA,100
"CC002xCC021","X15156x1566","103","D15","IgM","SARS","S",NA,1000
"CC002xCC021","X15156x1566","103","D15","TotalG","SARS","N",NA,3000
"CC002xCC021","X15156x1566","103","D15","TotalG","SARS","S",3000,1e+05
"CC002xCC021","X15156x1566","106","D15","IgG1","SARS","N",NA,300
"CC002xCC021","X15156x1566","106","D15","IgG1","SARS","S",NA,100
"CC002xCC021","X15156x1566","106","D15","IgG2ac","SARS","N",NA,NA
"CC002xCC021","X15156x1566","106","D15","IgG2ac","SARS","S",10000,1e+05
"CC002xCC021","X15156x1566","106","D15","IgG2b","SARS","N",NA,300
"CC002xCC021","X15156x1566","106","D15","IgG2b","SARS","S",1000,10000
"CC002xCC021","X15156x1566","106","D15","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","106","D15","IgG3","SARS","S",NA,1000
"CC002xCC021","X15156x1566","106","D15","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","106","D15","IgM","SARS","S",NA,300
"CC002xCC021","X15156x1566","106","D15","TotalG","SARS","N",NA,1000
"CC002xCC021","X15156x1566","106","D15","TotalG","SARS","S",10000,3e+05
"CC002xCC021","X15156x1566","107","D7","IgG1","SARS","N",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgG1","SARS","S",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","N",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","S",100,1000
"CC002xCC021","X15156x1566","107","D7","IgG2b","SARS","N",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgG2b","SARS","S",NA,100
"CC002xCC021","X15156x1566","107","D7","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgG3","SARS","S",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","107","D7","IgM","SARS","S",100,1000
"CC002xCC021","X15156x1566","107","D7","TotalG","SARS","N",NA,100
"CC002xCC021","X15156x1566","107","D7","TotalG","SARS","S",300,3000
"CC002xCC021","X15156x1566","130","D29","IgG1","SARS","N",NA,NA
"CC002xCC021","X15156x1566","130","D29","IgG1","SARS","S",NA,1000
"CC002xCC021","X15156x1566","130","D29","IgG2ac","SARS","N",NA,NA
"CC002xCC021","X15156x1566","130","D29","IgG2ac","SARS","S",10000,3e+05
"CC002xCC021","X15156x1566","130","D29","IgG2b","SARS","N",NA,300
"CC002xCC021","X15156x1566","130","D29","IgG2b","SARS","S",1000,10000
"CC002xCC021","X15156x1566","130","D29","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","130","D29","IgG3","SARS","S",NA,300
"CC002xCC021","X15156x1566","130","D29","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","130","D29","IgM","SARS","S",NA,NA
"CC002xCC021","X15156x1566","130","D29","TotalG","SARS","N",NA,NA
"CC002xCC021","X15156x1566","130","D29","TotalG","SARS","S",30000,3e+05
"CC002xCC021","X15156x1566","215","DRECHAL","IgG1","SARS","N",NA,1000
"CC002xCC021","X15156x1566","215","DRECHAL","IgG1","SARS","S",1000,10000
"CC002xCC021","X15156x1566","215","DRECHAL","IgG2ac","SARS","N",NA,1000
"CC002xCC021","X15156x1566","215","DRECHAL","IgG2ac","SARS","S",3000,1e+05
"CC002xCC021","X15156x1566","215","DRECHAL","IgG2b","SARS","N",NA,100
"CC002xCC021","X15156x1566","215","DRECHAL","IgG2b","SARS","S",300,10000
"CC002xCC021","X15156x1566","215","DRECHAL","IgG3","SARS","N",NA,NA
"CC002xCC021","X15156x1566","215","DRECHAL","IgG3","SARS","S",NA,300
"CC002xCC021","X15156x1566","215","DRECHAL","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","215","DRECHAL","IgM","SARS","S",NA,100
"CC002xCC021","X15156x1566","215","DRECHAL","TotalG","SARS","N",NA,3000
"CC002xCC021","X15156x1566","215","DRECHAL","TotalG","SARS","S",10000,3e+05
"CC002xCC021","X15156x1566","216","DRECHAL","IgG1","SARS","N",100,1000
"CC002xCC021","X15156x1566","216","DRECHAL","IgG1","SARS","S",NA,3000
"CC002xCC021","X15156x1566","216","DRECHAL","IgG2ac","SARS","N",NA,1000
