"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC041xCC012","X16441x8005","59","D15","IgG2ac","SARS","S",3.82946286780125
"CC041xCC012","X16441x8005","165","DRECHAL","TotalG","SARS","S",5.85735491485323
"CC041xCC012","X16441x8005","50","D29","TotalG","SARS","S",4.66965233854188
"CC033xCC068","X8033x16768","67","D7","IgG3","SARS","S",-0.0323660599244854
"CC061xCC026","X8048x8026","88","DRECHAL","IgM","SARS","N",0.0541401568399576
"CC006xCC039","X16750x15155","17","D29","IgG2b","SARS","N",1.77936225168741
"CC041xCC012","X16441x8005","59","D15","TotalG","SARS","S",4.4571654441126
"CC041xCC012","X16441x8005","51","D15","TotalG","SARS","S",3.16545309462669
"CC019xCC002","X16513x15156","86","DRECHAL","IgG3","SARS","N",0.0985453094626696
"CC027xCC045","X8027x8045","153","D29","IgG2ac","SARS","S",5.331243853523
"CC033xCC068","X8033x16768","98","DRECHAL","IgG3","SARS","S",4.04199263535281
"CC019xCC002","X16513x15156","1","D29","IgG3","SARS","N",0.0477907588963096
"CC036xCC051","X477x16912","58","D29","IgG2b","SARS","N",1.17078230199241
"CC019xCC002","X16513x15156","8","D15","IgG3","SARS","N",0.0929018202265442
"CC019xCC002","X16513x15156","86","DRECHAL","IgG2b","SARS","N",1.2296074771071
"CC019xCC002","X16513x15156","9","D29","IgG2b","SARS","N",0.28836849626487
"CC019xCC002","X16513x15156","8","D15","IgG2b","SARS","N",0.168022430717389
"CC017xCC004","X3032x16188","142","D15","IgG1","SARS","S",0.482682357920405
"CC010xCC015","X8018x3154","64","D29","IgG3","NARS","N",0.618527751426049
"CC019xCC002","X16513x15156","99","DRECHAL","IgG2ac","SARS","N",0.70045844314837
"CC019xCC002","X16513x15156","98","DRECHAL","IgG2ac","SARS","N",1.56288135000863
"CC019xCC002","X16513x15156","8","D15","IgG2ac","SARS","N",0.0932643237409158
"CC019xCC002","X16513x15156","18","D29","IgG1","SARS","N",1.17857815758343
"CC019xCC002","X16513x15156","1","D29","IgG1","SARS","N",0.215048193830946
"CC019xCC002","X16513x15156","86","DRECHAL","TotalG","SARS","N",2.04185180647101
"CC019xCC002","X16513x15156","9","D29","TotalG","SARS","N",1.74877672945678
"CC016xCC061","X8024x8048","113","DRECHAL","IgG3","SARS","N",1.68077208078996
