"RIX","alias","ID","day","virus","antigen","Ig2A.2C","IgG1","IgG2A.2B","IgG2ac","IgG2b","IgG3","TotalG"
"CC008xNA","X8036x15489","53","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xNA","X8036x15489","53","D29","SARS","S",NA,NA,NA,2,NA,NA,4
"CC008xNA","X8036x15489","55","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xNA","X8036x15489","55","D29","SARS","S",NA,NA,NA,2,NA,NA,4
"CC008xNA","X8036x15489","99","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x15489","99","D15","SARS","S",NA,NA,NA,2,NA,NA,2
"CC008xNA","X8036x18018","1","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,1
"CC008xNA","X8036x18018","1","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC008xNA","X8036x18018","102","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","102","D29","SARS","S",NA,NA,NA,4,NA,NA,3
"CC008xNA","X8036x18018","107","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","107","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,1
"CC008xNA","X8036x18018","111","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","111","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC008xNA","X8036x18018","112","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xNA","X8036x18018","112","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC008xNA","X8036x18018","115","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","115","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC008xNA","X8036x18018","2","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","2","DRECHAL","SARS","S",NA,NA,NA,0,NA,NA,3
"CC008xNA","X8036x18018","3","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xNA","X8036x18018","3","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC008xNA","X8036x18018","65","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","65","D15","SARS","S",NA,NA,NA,2,NA,NA,2
"CC008xNA","X8036x18018","66","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","66","D15","SARS","S",NA,NA,NA,2,NA,NA,1
"CC008xNA","X8036x18018","70","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x18018","70","D15","SARS","S",NA,NA,NA,1,NA,NA,2
