"RIX","ID","RIX_ID","Cohort","Treatment","Day","D1per","D2per","D3per","D4per","D5per","D6per","D7per","D8per","D9per","D10per","D11per","D12per","D13per","D14per","D15per","D45per"
"CC019xCC027","42","16513x8027_42","1_16i","Influenza","15",101.369863013699,98.6301369863014,99.3150684931507,98.6301369863014,97.9452054794521,97.2602739726027,97.2602739726027,96.5753424657534,99.3150684931507,101.369863013699,100.684931506849,88.3561643835616,96.5753424657534,98.6301369863014,97.9452054794521,NA
"CC019xCC027","10","16513x8027_10","1_16i","Influenza","45",101.169590643275,98.8304093567251,98.8304093567251,100.584795321637,99.4152046783626,100,98.2456140350877,98.2456140350877,98.8304093567251,99.4152046783626,98.8304093567251,98.2456140350877,100.584795321637,98.8304093567251,99.4152046783626,NA
"CC019xCC027","17","16513x8027_17","1_16i","Influenza","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC019xCC027","19","16513x8027_19","1_16i","Influenza","45",100.581395348837,101.744186046512,99.4186046511628,101.162790697674,98.2558139534884,98.8372093023256,98.8372093023256,99.4186046511628,100,101.162790697674,99.4186046511628,98.8372093023256,98.8372093023256,98.2558139534884,98.8372093023256,NA
"CC072xCC075","37","16521x3260_37","7_15vii","Influenza","2",97.841726618705,101.798561151079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","41","16521x3260_41","7_15vii","Influenza","2",97.119341563786,99.5884773662551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","42","16521x3260_42","7_15vii","Influenza","2",96.4426877470356,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","79","16521x3260_79","9_15ix","Influenza","4",95.4198473282443,94.6564885496183,91.6030534351145,90.8396946564886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","82","16521x3260_82","9_15ix","Influenza","4",94.7540983606557,90.8196721311475,93.1147540983606,91.1475409836066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","83","16521x3260_83","9_15ix","Influenza","4",99,98,97.6666666666667,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","84","16521x3260_84","9_15ix","Influenza","4",94.8553054662379,92.9260450160772,92.2829581993569,91.3183279742765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","104","16521x3260_104","10_15x","Influenza","4",98.7987987987988,98.1981981981982,95.4954954954955,94.2942942942943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","105","16521x3260_105","10_15x","Influenza","4",102.389078498294,104.436860068259,103.071672354949,104.778156996587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC072xCC075","108","16521x3260_108","10_15x","Influenza","4",98.1412639405204,97.0260223048327,95.5390334572491,93.6802973977695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
