"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC006xCC007","16750","13421","149","10","Influenza","Influenza","HA","6_15vi","2016_01_13",0.0226012881556778,0.251692355108908,0.137578185396451,0.168947353703158,0.182983338019162,0.50220501265174
"CC006xCC007","16750","13421","150","10","Influenza","Influenza","HA","6_15vi","2016_01_13",0.0302483338019164,0.283127051269234,0.124408261004933,0.0684835620331084,0.201597731745564,0.585874937043258
"CC006xCC007","16750","13421","50","15","Influenza","Influenza","HA","1_15i","2017_02_15",2.82191999467896,4.13831447807133,0.785861607458589,0.549093951321505,0.305394931420264,4.88058902301469
"CC006xCC007","16750","13421","60","15","Influenza","Influenza","HA","1_15i","2017_02_15",5.6672229630902,0.379019098321222,2.52074474957878,0.427963343642158,0.603576841312776,5.66460856936381
"CC006xCC007","16750","13421","61","15","Influenza","Influenza","HA","1_15i","2017_02_15",7.00741243383083,5.86608569061853,1.1386259311995,1.44511215358694,0.16898667041533,7.00725228261386
"CC006xCC007","16750","13421","62","15","Influenza","Influenza","HA","1_15i","2017_02_15",1.06934094103975,2.79080870933478,0.540093727307557,0.210097731745565,0.338574628986339,3.81113811290142
"CC006xCC007","16750","13421","89","45","Influenza","Influenza","HA","4_15iv","2016_01_13",0.184728563438858,3.17480383665402,0.640695239477183,0.0462907588963095,0.0634246989718241,3.6371434614231
"CC006xCC007","16750","13421","90","10","Influenza","Influenza","HA","4_15iv","2015_05_19",0.0595750770142301,6.63000151247158,3.19656059954681,4.20274029711288,1.88632027462091,6.8612498462735
"CC006xCC007","16750","13421","96","45","Influenza","Influenza","HA","4_15iv","2016_01_13",0.337545533476615,5.51087779359852,2.44823609647396,0.114630607679348,0.0660162139529454,6.45320764519305
"CC006xCC007","16750","13421","97","45","Influenza","Influenza","HA","4_15iv","2016_01_13",0.28598667041533,4.24328073389479,1.32526964444958,0.0736992439151885,0.153303640453088,5.08856127158865
"CC006xCC007","16750","13421","98","10","Influenza","Influenza","HA","4_15iv","2015_05_19",0.577489106755716,3.75897885774024,1.74754194925348,1.49140179241352,2.16627406910245,4.57904416157992
"CC006xCC039","16750","15155","38","45","Influenza","Influenza","HA","12_15xii","merged",9.18891276985177,7.77039677991276,2.14654129111816,1.01003608241647,0.0505587510543118,9.57600572701702
"CC006xCC039","16750","15155","39","45","Influenza","Influenza","HA","12_15xii","merged",7.75264033913437,7.95032325708964,1.92978685255877,2.08056916845768,0.0803806076793475,9.14504848813234
"CC006xCC039","16750","15155","42","45","Influenza","Influenza","HA","12_15xii","merged",1.2882203305489,6.60475817726392,2.34907971177454,0.873804186581442,0.0667335620331085,7.35966499608471
"CC006xCC039","16750","15155","43","45","Influenza","Influenza","HA","12_15xii","merged",6.94421564016255,7.43480382274751,1.71485182037752,1.19619256521634,0.0572629935637508,8.38015499889621
"CC006xCC039","16750","15155","72","10","Influenza","Influenza","HA","1_16i","2016_10_10",0.290672808759795,2.54004839003187,0.752616158024951,0.830847829846028,0.887151918327007,3.49087446120235
"CC006xCC039","16750","15155","79","10","Influenza","Influenza","HA","1_16i","2016_10_10",0.926877149369697,3.86359658386282,1.14893200799298,2.19621809040944,0.710518426279385,5.20342332707513
"CC007xCC070","13421","16034","105","45","Influenza","Influenza","HA","10_15x","merged",7.01501628424039,5.77080560095256,4.77258192410098,2.95358081793776,0.0650685242288684,8.36778405238445
