"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","IgG1","Flu","HA","2013_12_03",3,5
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","IgG2ac","Flu","HA","2013_12_03",4,6
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","IgG2b","Flu","HA","2013_12_03",3,5
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","IgG3","Flu","HA","2013_12_03",3,5
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","IgM","Flu","HA","2013_12_03",0,3
"CC002xCC021","170","15156x1566_170","15","Influenza","2_13ii","TotalG","Flu","HA","2013_12_03",5,7
"CC002xCC021","195","15156x1566_195","10","Influenza","3_13iii","IgG1","Flu","HA","2013_12_05",2,4
"CC002xCC021","195","15156x1566_195","10","Influenza","3_13iii","IgG2ac","Flu","HA","2013_12_05",1,3
"CC002xCC021","195","15156x1566_195","10","Influenza","3_13iii","IgG2b","Flu","HA","2013_12_05",2,5
"CC002xCC021","195","15156x1566_195","10","Influenza","3_13iii","IgG3","Flu","HA","2013_12_05",3,5
"CC002xCC021","195","15156x1566_195","10","Influenza","3_13iii","IgM","Flu","HA","2013_12_05",0,2
"CC002xCC021","199","15156x1566_199","10","Influenza","3_13iii","IgG1","Flu","HA","2014_01_13",0,3
"CC002xCC021","199","15156x1566_199","10","Influenza","3_13iii","IgG2ac","Flu","HA","2014_01_13",1,4
"CC002xCC021","199","15156x1566_199","10","Influenza","3_13iii","IgG2b","Flu","HA","2014_01_13",0,3
"CC002xCC021","199","15156x1566_199","10","Influenza","3_13iii","IgG3","Flu","HA","2014_01_13",1,3
"CC002xCC021","199","15156x1566_199","10","Influenza","3_13iii","IgM","Flu","HA","2014_01_13",0,2
"CC002xCC021","200","15156x1566_200","10","Influenza","3_13iii","IgG1","Flu","HA","2014_01_13",1,4
"CC002xCC021","200","15156x1566_200","10","Influenza","3_13iii","IgG2ac","Flu","HA","2014_01_13",2,4
"CC002xCC021","200","15156x1566_200","10","Influenza","3_13iii","IgG2b","Flu","HA","2014_01_13",1,3
"CC002xCC021","200","15156x1566_200","10","Influenza","3_13iii","IgG3","Flu","HA","2014_01_13",1,4
"CC002xCC021","200","15156x1566_200","10","Influenza","3_13iii","IgM","Flu","HA","2014_01_13",0,1
"CC002xCC021","201","15156x1566_201","15","Influenza","3_13iii","IgG1","Flu","HA","2014_01_13",0,3
"CC002xCC021","201","15156x1566_201","15","Influenza","3_13iii","IgG2ac","Flu","HA","2014_01_13",3,5
"CC002xCC021","201","15156x1566_201","15","Influenza","3_13iii","IgG2b","Flu","HA","2014_01_13",2,5
"CC002xCC021","201","15156x1566_201","15","Influenza","3_13iii","IgG3","Flu","HA","2014_01_13",1,4
"CC002xCC021","201","15156x1566_201","15","Influenza","3_13iii","IgM","Flu","HA","2014_01_13",0,0
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","IgG1","Flu","HA","2013_12_03",0,3
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","IgG2ac","Flu","HA","2013_12_03",2,4
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","IgG2b","Flu","HA","2013_12_03",2,4
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","IgG3","Flu","HA","2013_12_03",1,3
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","IgM","Flu","HA","2013_12_03",0,2
"CC002xCC021","202","15156x1566_202","15","Influenza","3_13iii","TotalG","Flu","HA","2013_12_03",3,5
"CC003xCC051","100","13067x16912_100","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC003xCC051","101","13067x16912_101","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC003xCC051","101","13067x16912_101","7","Influenza","10_13x","TotalG","Flu","HA.1","2014_01_17",1,1
"CC003xCC051","109","13067x16912_109","7","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,0
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",4,7
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",5,8
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",6,8
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",0,4
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0,1
"CC003xCC051","136","13067x16912_136","45","Influenza","11_13xi","TotalG","Flu","HA","2014_05_20",7,8
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG1","Flu","HA","2014_05_20",0,6
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG2ac","Flu","HA","2014_05_20",6,8
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG2b","Flu","HA","2014_05_20",6,8
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgG3","Flu","HA","2014_05_20",2,6
"CC003xCC051","137","13067x16912_137","45","Influenza","11_13xi","IgM","Flu","HA","2014_05_20",0,1
