"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","AUC"
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","IgG1","Flu","HA","2016_06_22",0.166744777391803
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","IgM","Flu","HA","2016_06_22",1.70785049020036
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","IgG3","Flu","HA","2016_06_22",1.67506838440887
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","TotalG","Flu","HA","2016_06_22",3.81881893053723
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","TotalG","Flu","HA","2016_06_22",3.37945287061275
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","IgG2b","Flu","HA","2016_06_22",1.70113724465866
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","IgG1","Flu","HA","2016_06_22",0.110692579122853
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","IgM","Flu","HA","2016_06_22",1.22009260723783
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","IgG3","Flu","HA","2016_06_22",0.71468790264301
"CC027xCC045","97","8027x8045_97","10","Influenza","5_15v","IgG2ac","Flu","HA","2016_06_22",1.43215413065345
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","IgG3","Flu","HA","2016_06_22",0.7297827500203
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","TotalG","Flu","HA","2016_06_22",4.10719787201849
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","IgG1","Flu","HA","2016_06_22",0.391715009840243
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","IgG2b","Flu","HA","2016_06_22",1.55014413346494
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","IgG2ac","Flu","HA","2016_06_22",2.1142742931164
"CC027xCC045","98","8027x8045_98","10","Influenza","5_15v","IgM","Flu","HA","2016_06_22",1.44406639609638
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","IgM","Flu","HA","2016_06_22",0.919089722869552
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","IgG2ac","Flu","HA","2016_06_22",2.30374096915473
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","IgG3","Flu","HA","2016_06_22",0.894347605832081
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","IgG2b","Flu","HA","2016_06_22",2.29899551972108
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","IgG1","Flu","HA","2016_06_22",0.339561299401669
"CC027xCC045","99","8027x8045_99","10","Influenza","5_15v","TotalG","Flu","HA","2016_06_22",3.78230560095256
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","IgG2b","Flu","HA","2016_06_22",0.867984654289818
"CC033xCC068","14","8033x16768_14","10","Influenza","8_15viii","TotalG","Flu","HA","2016_06_22",2.06067233291888
